joined,package,version,license
__future__:3.10.13,__future__,3.10.13,Python Standard Library
__pythonLicenses__:20250811_11:09:33,__pythonLicenses__,20250811_11:09:33,Bob's Lincese
_abc:3.10.13,_abc,3.10.13,Python Standard Library
_aix_support:3.10.13,_aix_support,3.10.13,Python Standard Library
_ast:3.10.13,_ast,3.10.13,Python Standard Library
_asyncio:3.10.13,_asyncio,3.10.13,Python Standard Library
_bisect:3.10.13,_bisect,3.10.13,Python Standard Library
_blake2:3.10.13,_blake2,3.10.13,Python Standard Library
_bootsubprocess:3.10.13,_bootsubprocess,3.10.13,Python Standard Library
_bz2:3.10.13,_bz2,3.10.13,Python Standard Library
_codecs:3.10.13,_codecs,3.10.13,Python Standard Library
_codecs_cn:3.10.13,_codecs_cn,3.10.13,Python Standard Library
_codecs_hk:3.10.13,_codecs_hk,3.10.13,Python Standard Library
_codecs_iso2022:3.10.13,_codecs_iso2022,3.10.13,Python Standard Library
_codecs_jp:3.10.13,_codecs_jp,3.10.13,Python Standard Library
_codecs_kr:3.10.13,_codecs_kr,3.10.13,Python Standard Library
_codecs_tw:3.10.13,_codecs_tw,3.10.13,Python Standard Library
_collections:3.10.13,_collections,3.10.13,Python Standard Library
_collections_abc:3.10.13,_collections_abc,3.10.13,Python Standard Library
_compat_pickle:3.10.13,_compat_pickle,3.10.13,Python Standard Library
_compression:3.10.13,_compression,3.10.13,Python Standard Library
_contextvars:3.10.13,_contextvars,3.10.13,Python Standard Library
_crypt:3.10.13,_crypt,3.10.13,Python Standard Library
_csv:3.10.13,_csv,3.10.13,Python Standard Library
_ctypes:3.10.13,_ctypes,3.10.13,Python Standard Library
_curses:3.10.13,_curses,3.10.13,Python Standard Library
_curses_panel:3.10.13,_curses_panel,3.10.13,Python Standard Library
_datetime:3.10.13,_datetime,3.10.13,Python Standard Library
_dbm:3.10.13,_dbm,3.10.13,Python Standard Library
_decimal:3.10.13,_decimal,3.10.13,Python Standard Library
_elementtree:3.10.13,_elementtree,3.10.13,Python Standard Library
_frozen_importlib:3.10.13,_frozen_importlib,3.10.13,Python Standard Library
_frozen_importlib_external:3.10.13,_frozen_importlib_external,3.10.13,Python Standard Library
_functools:3.10.13,_functools,3.10.13,Python Standard Library
_gdbm:3.10.13,_gdbm,3.10.13,Python Standard Library
_hashlib:3.10.13,_hashlib,3.10.13,Python Standard Library
_heapq:3.10.13,_heapq,3.10.13,Python Standard Library
_imp:3.10.13,_imp,3.10.13,Python Standard Library
_io:3.10.13,_io,3.10.13,Python Standard Library
_json:3.10.13,_json,3.10.13,Python Standard Library
_locale:3.10.13,_locale,3.10.13,Python Standard Library
_lsprof:3.10.13,_lsprof,3.10.13,Python Standard Library
_lzma:3.10.13,_lzma,3.10.13,Python Standard Library
_markupbase:3.10.13,_markupbase,3.10.13,Python Standard Library
_md5:3.10.13,_md5,3.10.13,Python Standard Library
_msi:3.10.13,_msi,3.10.13,Python Standard Library
_multibytecodec:3.10.13,_multibytecodec,3.10.13,Python Standard Library
_multiprocessing:3.10.13,_multiprocessing,3.10.13,Python Standard Library
_opcode:3.10.13,_opcode,3.10.13,Python Standard Library
_openmp_mutex:4.5,_openmp_mutex,4.5,BSD-3-Clause
_operator:3.10.13,_operator,3.10.13,Python Standard Library
_osx_support:3.10.13,_osx_support,3.10.13,Python Standard Library
